soil_type,nitrogen,phosphorus,potassium,organic_carbon,pH,recommended_crop,recommended_fertilizer
Red,35.35,16.1,148.1,0.66,6.3,Maize,SSP + Urea
Laterite,23.3,12.01,87.43,0.48,4.63,Tea,Organic Mix
Red,40.44,10.05,130.69,0.61,5.86,Groundnut,SSP + Urea
Alluvial,69.39,39.72,188.35,1.0,7.23,Maize,Urea + MOP
Black,44.57,13.03,260.76,1.86,8.28,Pulses,NPK 20:20:0
Red,33.9,10.27,121.24,0.93,5.62,Groundnut,Gypsum + SSP
Red,52.13,16.93,113.62,0.51,5.76,Millets,Gypsum + SSP
Alluvial,83.81,33.18,158.83,1.17,7.14,Maize,Urea + DAP
Alluvial,59.89,21.39,208.79,1.07,7.09,Wheat,Urea + MOP
Alluvial,65.2,30.68,200.88,0.97,6.72,Wheat,Urea + DAP
Red,35.8,17.1,124.93,0.57,5.84,Maize,SSP + Urea
Alluvial,69.66,23.13,181.45,0.78,6.98,Wheat,NPK 10:26:26
Laterite,25.15,9.09,76.19,0.41,4.95,Cashew,Organic Mix
Laterite,13.12,6.6,103.19,0.36,5.51,Tea,Organic Compost
Red,52.71,12.38,146.28,0.66,6.48,Groundnut,Gypsum + SSP
Alluvial,79.11,32.08,171.48,1.19,6.9,Maize,Urea + MOP
Black,41.37,19.25,328.11,1.36,8.44,Soybean,Potash + Urea
Red,58.74,15.4,136.04,0.37,5.81,Millets,Gypsum + SSP
Laterite,28.15,6.58,117.26,0.61,4.78,Rubber,Organic Compost
Black,33.98,16.48,247.88,1.51,7.6,Soybean,Potash + Urea
Red,56.82,18.21,109.12,0.95,5.8,Groundnut,SSP + Urea
Red,40.19,8.98,128.87,0.58,5.56,Maize,Gypsum + SSP
Red,32.41,11.77,118.55,0.49,5.87,Groundnut,Gypsum + SSP
Alluvial,76.24,31.71,167.98,1.39,7.17,Sugarcane,Urea + MOP
Alluvial,75.37,27.45,178.11,0.92,7.19,Wheat,Urea + DAP
Black,24.55,22.75,273.66,1.71,7.1,Pulses,NPK 20:20:0
Red,43.69,11.21,151.51,0.83,6.36,Maize,SSP + Urea
Alluvial,60.7,27.63,214.57,1.29,7.29,Maize,Urea + MOP
Laterite,13.16,5.14,112.9,0.59,5.6,Tea,Organic Compost
Alluvial,55.37,30.69,167.99,0.93,7.37,Maize,Urea + MOP
Alluvial,76.88,28.99,155.04,1.02,6.74,Maize,NPK 10:26:26
Laterite,14.75,9.44,91.64,0.64,5.41,Rubber,Organic Compost
Laterite,20.44,7.62,107.37,0.47,4.71,Tea,Organic Compost
Red,57.69,16.59,167.2,0.49,6.52,Millets,SSP + Urea
Alluvial,73.41,41.24,208.11,1.24,7.14,Sugarcane,NPK 10:26:26
Black,26.62,18.5,275.43,2.03,8.06,Pulses,Potash + Urea
Black,21.57,17.76,258.28,1.75,7.34,Pulses,Potash + Urea
Red,49.4,13.13,124.55,0.45,6.53,Maize,Gypsum + SSP
Laterite,31.25,9.06,90.59,0.64,4.61,Tea,Organic Mix
Laterite,34.84,8.9,86.22,0.3,5.72,Tea,Organic Mix
Laterite,13.87,6.61,124.14,0.64,5.32,Tea,Organic Mix
Red,28.17,10.33,153.65,0.56,6.03,Maize,Gypsum + SSP
Red,54.22,15.23,147.82,0.43,6.06,Maize,Gypsum + SSP
Black,33.02,16.57,277.85,1.0,7.75,Pulses,Potash + Urea
Laterite,15.77,7.7,114.67,0.58,5.31,Cashew,Organic Compost
Laterite,9.16,8.14,122.83,0.61,4.75,Cashew,Organic Compost
Alluvial,71.73,30.62,208.32,1.24,7.29,Maize,NPK 10:26:26
Laterite,34.55,5.58,82.22,0.51,5.09,Tea,Organic Compost
Red,43.74,11.61,165.5,0.75,6.0,Maize,SSP + Urea
Red,42.54,18.18,117.38,0.67,6.42,Millets,Gypsum + SSP
Red,47.84,10.32,152.68,0.55,6.12,Millets,Gypsum + SSP
Alluvial,85.0,21.53,152.4,1.06,6.94,Rice,Urea + DAP
Laterite,16.85,5.9,80.66,0.55,5.08,Cashew,Organic Mix
Black,22.72,18.64,324.61,0.92,7.57,Soybean,NPK 20:20:0
Laterite,12.38,9.9,118.7,0.62,4.89,Cashew,Organic Mix
Black,43.17,21.47,239.42,1.38,7.1,Soybean,Potash + Urea
Alluvial,58.69,32.52,172.1,1.42,7.04,Rice,Urea + MOP
Black,33.06,19.41,248.36,1.69,7.3,Soybean,NPK 20:20:0
Alluvial,82.38,29.68,161.53,1.09,6.83,Wheat,Urea + MOP
Laterite,11.93,9.1,75.91,0.38,4.97,Cashew,Organic Mix
Alluvial,87.45,32.8,208.09,1.01,7.5,Sugarcane,Urea + MOP
Laterite,28.44,7.69,78.61,0.42,4.93,Rubber,Organic Mix
Red,51.47,14.85,162.8,0.77,6.35,Groundnut,Gypsum + SSP
Black,33.18,16.84,277.68,1.1,8.17,Soybean,NPK 20:20:0
Laterite,34.39,7.48,113.76,0.42,5.15,Tea,Organic Compost
Red,33.26,16.56,168.56,0.55,6.35,Maize,Gypsum + SSP
Alluvial,58.09,21.43,159.33,1.0,7.29,Sugarcane,Urea + MOP
Red,41.78,11.35,126.97,0.79,5.99,Groundnut,SSP + Urea
Alluvial,63.22,20.86,178.36,1.34,6.71,Maize,Urea + DAP
Red,39.01,12.55,158.46,0.44,6.04,Groundnut,SSP + Urea
Red,29.68,13.47,136.14,0.63,6.01,Millets,SSP + Urea
Laterite,17.33,7.97,101.31,0.39,5.77,Cashew,Organic Compost
Red,36.78,15.54,145.97,0.66,6.08,Millets,SSP + Urea
Red,37.38,17.65,109.52,0.77,6.24,Millets,SSP + Urea
Red,43.92,13.36,157.91,0.64,6.29,Maize,Gypsum + SSP
Black,22.58,18.49,251.67,2.11,7.81,Soybean,NPK 20:20:0
Red,52.03,12.47,125.63,0.84,5.78,Groundnut,Gypsum + SSP
Red,48.47,9.75,128.16,0.71,5.78,Millets,SSP + Urea
Alluvial,66.69,27.4,204.13,0.96,7.1,Rice,Urea + MOP
Alluvial,78.68,32.95,208.02,0.92,7.54,Sugarcane,Urea + MOP
Black,24.34,20.63,257.32,1.46,8.3,Pulses,Potash + Urea
Laterite,23.78,5.5,90.22,0.55,5.5,Cashew,Organic Mix
Black,36.94,19.78,274.55,1.79,8.6,Soybean,Potash + Urea
Laterite,26.51,10.75,134.97,0.31,4.67,Rubber,Organic Mix
Red,36.76,12.21,131.28,0.87,6.34,Millets,Gypsum + SSP
Laterite,14.05,13.64,83.29,0.5,4.91,Tea,Organic Mix
Red,27.62,17.64,144.97,0.49,5.85,Millets,Gypsum + SSP
Laterite,30.45,9.73,98.71,0.49,5.77,Tea,Organic Compost
Black,31.7,20.04,281.28,0.98,7.39,Cotton,NPK 20:20:0
Laterite,32.85,6.64,122.15,0.44,5.75,Rubber,Organic Mix
Red,32.85,6.01,166.89,0.88,6.36,Groundnut,Gypsum + SSP
Alluvial,62.84,37.01,159.34,0.9,7.3,Wheat,NPK 10:26:26
Red,31.35,7.2,128.82,0.73,6.42,Groundnut,SSP + Urea
Alluvial,64.49,25.78,213.13,1.12,6.77,Rice,NPK 10:26:26
Red,58.82,12.2,148.76,0.63,5.79,Maize,SSP + Urea
Red,57.66,12.44,127.43,0.34,6.18,Groundnut,Gypsum + SSP
Alluvial,55.74,27.61,156.49,1.11,7.52,Maize,NPK 10:26:26
Laterite,20.24,7.07,101.28,0.24,4.78,Tea,Organic Compost
Alluvial,58.26,19.95,204.69,1.22,6.99,Wheat,Urea + MOP
Alluvial,76.4,31.06,192.69,0.91,7.45,Maize,NPK 10:26:26
Red,53.41,14.41,115.13,0.42,6.04,Millets,SSP + Urea
Alluvial,75.03,37.82,218.23,1.28,7.16,Rice,NPK 10:26:26
Laterite,31.05,12.7,85.34,0.5,4.52,Rubber,Organic Mix
Red,40.81,12.95,164.84,0.45,5.86,Millets,Gypsum + SSP
Red,41.04,11.65,127.07,0.46,5.71,Maize,Gypsum + SSP
Alluvial,68.71,30.87,153.58,1.19,6.6,Wheat,NPK 10:26:26
Alluvial,75.49,25.06,212.99,1.0,6.38,Rice,Urea + MOP
Alluvial,74.35,32.75,161.47,0.83,7.15,Rice,NPK 10:26:26
Alluvial,75.09,33.96,210.2,1.13,6.78,Maize,Urea + DAP
Alluvial,64.47,32.56,204.47,1.06,7.34,Wheat,Urea + MOP
Red,59.55,12.47,121.01,0.82,6.39,Millets,SSP + Urea
Laterite,23.55,8.47,96.23,0.7,5.35,Cashew,Organic Compost
Laterite,22.88,11.26,128.45,0.59,5.76,Tea,Organic Compost
Alluvial,88.43,37.56,159.11,0.69,7.17,Sugarcane,NPK 10:26:26
Alluvial,60.74,39.46,222.19,1.33,6.74,Sugarcane,NPK 10:26:26
Black,40.7,19.36,255.11,1.93,7.41,Cotton,NPK 20:20:0
Black,27.47,12.47,324.54,1.47,7.65,Pulses,NPK 20:20:0
Alluvial,61.09,36.15,202.14,1.26,6.76,Sugarcane,NPK 10:26:26
Laterite,30.6,13.46,104.69,0.45,4.54,Rubber,Organic Compost
Red,24.89,13.22,152.22,0.7,5.65,Maize,Gypsum + SSP
Black,31.14,14.35,285.73,2.16,8.41,Pulses,Potash + Urea
Laterite,29.66,11.02,89.58,0.49,5.07,Rubber,Organic Mix
Laterite,19.6,8.15,79.81,0.41,4.81,Rubber,Organic Mix
Black,22.92,15.65,331.43,1.97,7.58,Soybean,Potash + Urea
Black,30.09,13.36,306.32,1.71,7.27,Pulses,Potash + Urea
Black,25.91,24.84,274.92,1.76,8.25,Cotton,NPK 20:20:0
Black,39.11,16.89,315.5,1.76,7.45,Cotton,Potash + Urea
Black,21.76,14.87,328.95,1.18,7.15,Soybean,NPK 20:20:0
Alluvial,90.04,40.21,170.96,1.1,6.8,Maize,Urea + DAP
Red,36.6,15.13,117.19,0.82,6.53,Maize,SSP + Urea
Red,31.79,15.01,150.36,0.9,5.96,Millets,SSP + Urea
Black,39.18,18.86,313.0,1.38,7.7,Cotton,NPK 20:20:0
Laterite,31.09,9.7,91.57,0.44,5.78,Tea,Organic Mix
Black,41.9,22.32,247.94,2.13,8.29,Soybean,Potash + Urea
Black,22.35,16.07,264.14,1.68,7.16,Cotton,NPK 20:20:0
Alluvial,90.8,22.83,222.66,1.06,6.6,Wheat,NPK 10:26:26
Red,54.45,18.26,152.88,0.71,6.37,Groundnut,SSP + Urea
Red,23.5,12.8,168.44,0.75,5.6,Maize,SSP + Urea
Laterite,33.97,10.96,120.45,0.51,4.59,Cashew,Organic Compost
Alluvial,66.83,28.32,174.91,1.11,6.58,Maize,NPK 10:26:26
Alluvial,80.75,26.0,193.43,1.32,7.2,Rice,Urea + MOP
Laterite,32.27,10.88,115.68,0.31,5.74,Rubber,Organic Mix
Black,27.02,21.49,303.01,1.46,8.64,Cotton,NPK 20:20:0
Laterite,13.0,7.26,134.97,0.53,4.85,Tea,Organic Mix
Alluvial,58.31,34.94,213.76,1.04,7.04,Sugarcane,Urea + MOP
Alluvial,87.32,20.96,203.91,1.42,7.44,Sugarcane,Urea + DAP
Alluvial,56.69,33.04,149.86,1.03,6.64,Sugarcane,Urea + MOP
Black,43.76,17.34,321.69,1.56,7.48,Pulses,NPK 20:20:0
Laterite,21.37,11.53,94.2,0.37,5.7,Rubber,Organic Compost
Black,23.91,15.86,335.54,0.99,7.0,Pulses,NPK 20:20:0
Red,52.82,16.61,120.33,0.65,6.11,Groundnut,SSP + Urea
Red,49.29,16.28,133.65,0.88,5.48,Millets,Gypsum + SSP
Alluvial,80.95,34.29,164.71,1.16,7.12,Maize,Urea + DAP
Alluvial,88.27,34.67,179.15,1.22,6.99,Maize,Urea + MOP
Alluvial,72.66,26.89,164.77,1.08,7.19,Sugarcane,Urea + MOP
Laterite,22.45,7.43,93.62,0.4,4.74,Rubber,Organic Compost
Laterite,24.56,6.97,86.98,0.72,4.76,Tea,Organic Compost
Alluvial,68.66,34.64,169.56,1.02,6.85,Maize,Urea + DAP
Laterite,33.47,6.93,124.86,0.62,4.91,Cashew,Organic Compost
Red,44.78,9.42,165.62,0.78,5.45,Maize,Gypsum + SSP
Black,39.87,23.58,332.13,1.65,7.62,Cotton,Potash + Urea
Black,23.5,19.71,287.67,1.06,7.95,Soybean,Potash + Urea
Red,54.93,13.98,113.44,0.65,5.68,Maize,Gypsum + SSP
Laterite,16.64,8.16,129.34,0.32,4.7,Rubber,Organic Compost
Alluvial,74.33,28.23,221.43,1.02,6.95,Rice,Urea + DAP
Black,37.81,14.34,309.06,1.81,7.76,Pulses,Potash + Urea
Red,39.04,17.61,114.05,0.47,5.73,Millets,Gypsum + SSP
Laterite,14.3,6.92,92.79,0.52,5.42,Cashew,Organic Compost
Laterite,28.37,7.38,100.3,0.44,5.46,Rubber,Organic Mix
Red,33.78,7.29,128.82,0.78,5.43,Groundnut,SSP + Urea
Black,26.34,11.94,287.06,1.07,7.59,Pulses,NPK 20:20:0
Black,30.63,11.79,283.81,2.14,8.2,Soybean,NPK 20:20:0
Black,32.05,15.98,267.38,1.16,8.36,Pulses,NPK 20:20:0
Red,33.56,6.84,141.58,0.66,5.69,Maize,Gypsum + SSP
Laterite,26.12,9.41,122.12,0.32,5.01,Rubber,Organic Mix
Black,41.05,26.78,325.0,1.66,7.11,Pulses,Potash + Urea
Alluvial,65.91,36.42,195.82,1.31,6.78,Wheat,Urea + MOP
Alluvial,54.41,25.66,206.3,0.94,6.35,Maize,Urea + DAP
Alluvial,90.24,26.04,213.69,1.31,7.12,Wheat,Urea + DAP
Alluvial,62.8,23.85,219.06,1.27,6.81,Wheat,NPK 10:26:26
Alluvial,72.52,40.27,165.0,1.13,6.98,Maize,NPK 10:26:26
Red,32.76,14.25,136.98,0.52,6.33,Maize,SSP + Urea
Laterite,20.45,9.66,108.85,0.66,5.02,Rubber,Organic Compost
Alluvial,56.28,30.63,183.43,1.2,7.21,Wheat,Urea + MOP
Alluvial,70.02,20.9,183.01,1.02,6.69,Rice,Urea + MOP
Red,28.47,12.7,149.87,0.6,6.18,Groundnut,Gypsum + SSP
Laterite,12.72,10.67,91.15,0.32,5.6,Tea,Organic Compost
Red,28.06,11.49,159.02,0.81,5.75,Groundnut,Gypsum + SSP
Laterite,27.34,8.42,91.45,0.64,5.53,Cashew,Organic Mix
Red,56.98,12.32,138.0,0.77,6.22,Millets,SSP + Urea
Red,29.6,9.26,118.35,0.49,5.72,Millets,SSP + Urea
Black,35.45,12.87,300.43,1.15,7.91,Soybean,Potash + Urea
Black,19.95,14.03,308.32,1.99,8.46,Soybean,Potash + Urea
Red,38.52,10.66,154.5,0.85,5.68,Groundnut,SSP + Urea
Alluvial,67.32,24.35,150.39,1.19,7.07,Maize,NPK 10:26:26
Red,55.8,10.25,144.37,0.51,5.59,Groundnut,SSP + Urea
Alluvial,58.02,26.3,210.27,0.78,6.27,Sugarcane,Urea + MOP
Alluvial,84.79,37.05,170.36,0.97,6.77,Maize,Urea + DAP
Black,30.83,17.97,253.38,1.58,7.45,Pulses,NPK 20:20:0
Laterite,32.51,7.66,95.07,0.38,5.03,Tea,Organic Mix
Red,32.05,9.6,140.78,0.83,6.1,Maize,SSP + Urea
Black,31.8,19.25,323.86,1.82,8.31,Soybean,Potash + Urea
Black,20.81,24.94,272.04,1.3,7.18,Soybean,NPK 20:20:0
Alluvial,57.64,25.57,220.86,1.32,6.42,Sugarcane,Urea + MOP
Laterite,19.15,8.29,86.62,0.33,4.93,Tea,Organic Compost
Black,44.35,16.68,314.25,2.01,7.29,Cotton,NPK 20:20:0
Laterite,33.83,11.97,84.08,0.71,4.98,Rubber,Organic Compost
Red,56.56,15.05,143.79,0.81,6.27,Groundnut,Gypsum + SSP
Alluvial,56.82,32.17,187.63,1.43,7.32,Wheat,Urea + DAP
Alluvial,58.5,37.69,184.71,0.9,6.53,Maize,Urea + MOP
Black,37.61,18.22,328.76,1.08,7.38,Pulses,NPK 20:20:0
Alluvial,81.21,34.5,200.28,0.99,6.68,Maize,NPK 10:26:26
Red,46.55,10.49,164.7,0.4,5.6,Millets,Gypsum + SSP
Red,55.04,6.5,142.86,0.72,6.44,Maize,Gypsum + SSP
Black,41.08,21.84,323.41,2.08,7.7,Cotton,NPK 20:20:0
Alluvial,66.98,27.27,177.61,1.09,7.1,Maize,Urea + DAP
Alluvial,88.95,23.83,176.46,1.04,6.59,Rice,Urea + MOP
Laterite,25.36,10.97,93.35,0.63,5.63,Tea,Organic Compost
Red,45.23,8.95,112.16,0.87,5.84,Groundnut,Gypsum + SSP
Red,32.92,13.57,130.81,0.72,5.61,Millets,Gypsum + SSP
Laterite,19.41,5.43,93.59,0.29,4.46,Tea,Organic Compost
Laterite,26.09,9.92,102.54,0.42,4.69,Cashew,Organic Compost
Red,52.17,14.35,134.19,0.63,6.38,Millets,Gypsum + SSP
Black,42.87,16.93,277.18,1.69,8.2,Soybean,Potash + Urea
Laterite,20.09,5.87,91.85,0.66,5.45,Cashew,Organic Mix
Alluvial,88.65,33.42,216.03,1.25,6.89,Sugarcane,Urea + DAP
Laterite,28.25,10.31,86.85,0.63,5.56,Rubber,Organic Mix
Black,33.02,12.79,271.24,1.17,8.56,Soybean,NPK 20:20:0
Alluvial,73.69,23.65,161.22,0.77,7.69,Wheat,Urea + MOP
Laterite,26.45,12.02,96.46,0.5,5.12,Rubber,Organic Compost
Laterite,18.84,5.28,85.66,0.48,5.08,Tea,Organic Mix
Laterite,22.22,8.26,87.78,0.61,5.34,Cashew,Organic Compost
Laterite,29.4,8.79,98.71,0.31,5.08,Rubber,Organic Mix
Red,51.45,13.24,160.31,0.44,6.54,Maize,Gypsum + SSP
Black,26.08,17.93,283.31,0.96,7.81,Pulses,NPK 20:20:0
Black,39.34,10.97,337.27,1.04,8.02,Cotton,NPK 20:20:0
Laterite,23.9,9.17,114.76,0.5,4.57,Rubber,Organic Compost
Black,40.69,18.39,267.08,1.52,8.12,Pulses,Potash + Urea
Black,26.86,11.76,241.77,1.89,8.11,Cotton,NPK 20:20:0
Red,27.66,11.31,122.62,0.68,5.58,Millets,SSP + Urea
Black,26.72,9.85,326.29,1.25,7.35,Cotton,Potash + Urea
Laterite,34.54,10.85,98.21,0.54,5.44,Rubber,Organic Mix
Laterite,28.3,11.43,122.9,0.41,4.56,Tea,Organic Mix
Laterite,29.63,8.4,87.69,0.69,4.91,Tea,Organic Compost
Laterite,17.64,12.74,83.39,0.39,4.88,Tea,Organic Compost
Black,28.38,15.72,283.4,1.75,7.61,Pulses,Potash + Urea
Black,32.97,16.35,270.02,1.43,8.23,Pulses,Potash + Urea
Black,27.01,24.93,332.87,1.53,7.28,Soybean,NPK 20:20:0
Black,30.49,15.74,257.11,1.11,7.41,Cotton,NPK 20:20:0
Black,37.5,14.37,261.15,2.14,7.82,Pulses,NPK 20:20:0
Alluvial,87.64,32.53,157.46,0.88,6.83,Maize,Urea + MOP
Alluvial,56.0,38.03,173.03,1.47,6.63,Wheat,Urea + DAP
Laterite,32.63,9.93,116.56,0.52,5.85,Cashew,Organic Compost
Black,35.28,13.49,298.6,2.15,7.42,Soybean,NPK 20:20:0
Red,46.42,6.7,147.51,0.91,6.12,Groundnut,SSP + Urea
Red,24.26,13.12,135.71,0.44,5.63,Groundnut,SSP + Urea
Alluvial,57.61,28.72,162.06,1.32,7.54,Sugarcane,NPK 10:26:26
Black,34.57,11.06,268.2,1.08,7.11,Soybean,Potash + Urea
Laterite,10.73,9.06,81.35,0.49,5.8,Cashew,Organic Compost
Laterite,22.66,7.38,93.01,0.64,5.41,Rubber,Organic Compost
Black,41.47,23.55,265.62,1.83,8.28,Pulses,Potash + Urea
Black,21.81,14.09,308.12,1.15,8.59,Pulses,Potash + Urea
Black,30.96,23.52,328.04,1.57,7.26,Pulses,NPK 20:20:0
Alluvial,61.24,32.38,181.23,0.88,7.48,Rice,Urea + MOP
Laterite,20.39,7.42,110.37,0.58,4.72,Rubber,Organic Mix
Black,37.24,12.87,298.63,2.15,8.09,Cotton,NPK 20:20:0
Black,31.97,19.98,310.09,2.08,7.01,Cotton,Potash + Urea
Red,46.03,10.02,113.54,0.53,5.91,Groundnut,SSP + Urea
Black,21.27,24.03,257.64,1.97,8.11,Pulses,Potash + Urea
Black,27.22,11.54,328.19,1.33,7.96,Pulses,Potash + Urea
Black,45.72,25.12,303.9,1.1,7.8,Soybean,NPK 20:20:0
Alluvial,85.58,20.92,179.02,1.05,6.81,Sugarcane,NPK 10:26:26
Red,31.15,11.93,114.62,0.4,6.4,Maize,Gypsum + SSP
Laterite,12.87,6.05,123.77,0.44,4.84,Rubber,Organic Mix
Alluvial,66.76,34.5,174.75,1.46,6.99,Sugarcane,Urea + DAP
Black,43.26,17.7,336.82,0.96,7.52,Cotton,Potash + Urea
Laterite,28.09,13.09,81.42,0.4,4.81,Rubber,Organic Compost
Laterite,25.27,12.07,126.95,0.7,4.49,Cashew,Organic Mix
Red,27.3,10.46,130.95,0.5,6.48,Millets,Gypsum + SSP
Alluvial,61.87,24.94,213.05,0.77,6.67,Sugarcane,Urea + MOP
Black,32.63,16.55,338.12,1.81,7.79,Pulses,NPK 20:20:0
Black,24.95,15.63,293.26,1.06,7.67,Pulses,NPK 20:20:0
Black,31.28,24.52,306.34,1.79,7.3,Cotton,NPK 20:20:0
Laterite,31.03,6.14,109.76,0.46,5.14,Cashew,Organic Compost
Black,33.55,18.87,264.96,1.12,8.26,Pulses,Potash + Urea
Black,37.75,18.67,334.54,1.92,7.29,Soybean,Potash + Urea
Alluvial,67.4,32.5,196.93,1.06,7.09,Maize,Urea + DAP
Red,32.27,14.01,112.43,0.53,5.67,Maize,SSP + Urea
Black,24.47,20.93,280.1,1.43,7.12,Soybean,NPK 20:20:0
Black,20.78,14.89,263.14,2.14,8.44,Pulses,NPK 20:20:0
Red,51.59,17.32,141.89,0.54,5.39,Millets,SSP + Urea
Alluvial,74.1,24.04,182.58,1.29,6.99,Rice,Urea + DAP
Black,22.54,16.84,285.37,1.93,8.03,Soybean,NPK 20:20:0
Black,21.37,25.32,315.09,1.85,7.15,Cotton,Potash + Urea
Laterite,12.88,7.81,116.7,0.33,5.41,Rubber,Organic Compost
Alluvial,63.12,22.78,153.87,0.79,7.25,Rice,Urea + DAP
Alluvial,61.32,36.19,181.5,0.81,7.09,Maize,NPK 10:26:26
Alluvial,89.35,25.98,199.83,1.33,6.93,Sugarcane,Urea + DAP
Red,30.91,9.12,144.2,0.37,6.22,Millets,SSP + Urea
Laterite,35.92,7.06,81.76,0.61,5.62,Cashew,Organic Compost
Red,39.23,8.21,150.65,0.62,6.24,Millets,SSP + Urea
Laterite,36.17,11.35,96.59,0.46,5.05,Tea,Organic Compost
Laterite,16.7,9.05,111.3,0.35,4.95,Tea,Organic Compost
Alluvial,58.01,29.85,196.65,1.25,6.47,Sugarcane,Urea + MOP
Red,30.04,9.33,151.5,0.51,5.79,Maize,SSP + Urea
Red,59.14,12.74,121.73,0.8,6.14,Groundnut,SSP + Urea
Laterite,15.75,5.66,129.57,0.63,5.84,Tea,Organic Mix
Black,36.25,14.62,289.95,1.75,7.57,Soybean,Potash + Urea
Black,25.38,14.66,271.85,1.76,7.2,Pulses,Potash + Urea
Black,31.02,25.44,329.29,1.09,7.25,Cotton,NPK 20:20:0
Red,51.47,16.24,114.09,0.5,5.93,Groundnut,Gypsum + SSP
Laterite,28.36,8.73,99.05,0.3,5.05,Cashew,Organic Compost
Red,44.26,19.61,112.54,0.51,5.47,Millets,SSP + Urea
Black,41.59,13.18,282.79,2.02,8.15,Pulses,Potash + Urea
Alluvial,71.64,35.97,210.47,1.05,7.56,Rice,NPK 10:26:26
Black,44.67,16.17,295.31,1.83,7.94,Pulses,NPK 20:20:0
Alluvial,74.36,32.56,190.31,1.16,6.51,Sugarcane,Urea + DAP
Red,41.93,13.53,127.93,0.55,6.2,Millets,Gypsum + SSP
Red,44.32,15.8,147.74,0.39,5.82,Groundnut,SSP + Urea
Red,33.65,14.44,157.16,0.41,5.77,Millets,Gypsum + SSP
Red,28.49,15.94,120.63,0.79,6.02,Millets,SSP + Urea
Laterite,16.25,9.45,115.98,0.53,5.49,Cashew,Organic Compost
Red,28.19,9.72,169.9,0.53,5.78,Millets,Gypsum + SSP
Red,35.72,18.32,163.71,0.62,6.04,Millets,SSP + Urea
Red,45.06,14.33,154.52,0.52,5.89,Maize,SSP + Urea
Laterite,25.22,7.95,131.08,0.3,5.85,Rubber,Organic Compost
Red,36.91,15.01,123.5,0.63,6.55,Millets,Gypsum + SSP
Red,23.99,11.03,132.29,0.49,5.75,Millets,SSP + Urea
Alluvial,86.78,37.5,195.99,1.28,7.58,Wheat,Urea + MOP
Red,49.95,7.16,111.59,0.92,5.56,Millets,SSP + Urea
Red,58.8,13.33,155.54,0.93,6.19,Groundnut,Gypsum + SSP
Laterite,18.33,10.22,81.1,0.57,4.71,Cashew,Organic Mix
Alluvial,75.13,39.36,164.85,1.25,6.67,Sugarcane,Urea + MOP
Black,26.97,14.81,330.14,1.72,8.11,Soybean,NPK 20:20:0
Laterite,11.35,11.08,94.71,0.27,4.8,Cashew,Organic Mix
Laterite,13.87,6.26,124.56,0.49,4.8,Rubber,Organic Compost
Alluvial,88.5,25.45,159.28,1.23,6.46,Rice,Urea + MOP
Laterite,31.08,8.82,125.61,0.59,5.03,Rubber,Organic Mix
Black,33.06,13.38,324.95,2.03,8.15,Pulses,Potash + Urea
Alluvial,75.34,30.06,166.57,1.12,7.05,Wheat,Urea + DAP
Black,28.23,20.22,285.17,1.13,8.3,Pulses,NPK 20:20:0
Laterite,17.88,9.3,108.42,0.54,5.05,Rubber,Organic Compost
Laterite,22.95,7.89,107.67,0.43,5.13,Tea,Organic Mix
Alluvial,85.25,32.54,187.24,0.88,7.36,Sugarcane,Urea + MOP
Laterite,21.15,5.67,108.61,0.43,5.55,Tea,Organic Mix
Alluvial,86.31,24.72,173.99,1.22,7.12,Maize,Urea + DAP
Laterite,17.05,5.48,86.74,0.49,5.26,Cashew,Organic Compost
Black,32.79,20.91,304.04,2.2,8.62,Pulses,NPK 20:20:0
Red,57.61,17.37,151.7,0.74,6.14,Groundnut,SSP + Urea
Black,26.59,11.53,319.87,1.19,7.24,Cotton,NPK 20:20:0
Red,57.13,9.07,122.04,0.73,5.83,Maize,Gypsum + SSP
Red,35.6,16.23,142.68,0.65,5.69,Millets,SSP + Urea
Black,35.59,12.23,249.22,1.19,7.69,Soybean,Potash + Urea
Black,32.26,10.48,330.96,2.02,8.13,Cotton,NPK 20:20:0
Laterite,17.79,11.46,109.96,0.6,5.62,Tea,Organic Mix
Alluvial,85.98,25.71,195.31,1.2,7.6,Sugarcane,Urea + DAP
Black,22.34,10.73,247.08,1.71,7.57,Cotton,NPK 20:20:0
Alluvial,72.85,26.16,165.78,1.21,6.64,Sugarcane,Urea + DAP
Red,56.02,15.19,132.78,0.68,6.1,Groundnut,Gypsum + SSP
Red,41.4,13.14,147.77,0.68,6.23,Groundnut,SSP + Urea
Black,20.72,8.51,250.47,1.32,7.36,Cotton,NPK 20:20:0
Red,55.74,12.31,121.0,0.48,6.39,Groundnut,Gypsum + SSP
Red,44.2,16.03,147.06,0.47,6.61,Groundnut,Gypsum + SSP
Black,28.12,12.82,273.05,1.66,8.24,Cotton,NPK 20:20:0
Red,46.89,9.8,156.9,0.44,6.26,Groundnut,SSP + Urea
Red,32.85,11.27,146.78,0.85,6.36,Maize,Gypsum + SSP
Laterite,25.79,5.06,122.16,0.55,4.97,Cashew,Organic Compost
Red,41.74,8.42,151.26,0.71,6.3,Groundnut,SSP + Urea
Alluvial,70.66,32.92,186.93,1.28,7.21,Maize,Urea + MOP
Red,52.82,8.87,144.18,0.63,6.2,Maize,Gypsum + SSP
Black,27.23,9.26,280.94,1.91,6.95,Cotton,NPK 20:20:0
Laterite,33.07,7.85,115.22,0.6,5.47,Rubber,Organic Mix
